year,Brand,Car_Price,Location,Mileage,Type
2025,Skoda Kodiaq 2025,"EGP 3,200,000","5th Settlement, New Cairo•",New,Benzine
1984,فيات بولونيز 1984,"EGP 60,000","Shebin al-Koum, Monufia•",111111 km,Benzine
2016,شيفروليه أفيو 2016,"EGP 460,000","Giza District, Giza•",170 km,Benzine
2024,Mercedes-Benz C180 2024 وكيل,"EGP 3,750,000","Mohandessin, Giza•",1500 km,Benzine
2018,Range Rover Discovery Sport Top Line 2018 حالة نادرة فبريكة بالكامل,"EGP 2,350,000","Zamalek, Cairo•",128000 km,Benzine
2019,مرسيدس بنز سي 200 2019,"EGP 2,500,000","Sheikh Zayed, Giza•",65000 km,Benzine
2023,BMW X3 2023,"EGP 3,850,000","Mohandessin, Giza•",19800 km,Benzine
1985,تويوتا كورولا 1985,"EGP 80,000","Downtown Cairo, Cairo•",23000 km,Benzine
2025,مرسيدس بنز سي إل إيه 200 2025 Mercedes CLA 200 Fully Loaded,"EGP 3,250,000","New Cairo, Cairo•",New,Benzine
2019,سيات إبيزا 2019 فبريكا FR,"EGP 860,000","Heliopolis, Cairo•",75000 km,Benzine
2002,دايو لانوس 2002,"EGP 300,000","Zarqa, Damietta•",200000 km,Benzine
2007,Nissan Sunny 2007,"EGP 375,000","Miami, Alexandria•",217000 km,Benzine
2005,هيونداي إلينترا 2005,"EGP 420,000","Badrasheen, Giza•",230000 km,Benzine
2011,Jeep Wrangler 2011,"EGP 1,250,000","Nasr City, Cairo•",150000 km,Benzine
2011,هيونداي فيرنا 2011,"EGP 440,000","Nasr City, Cairo•",197000 km,Benzine
2021,Chery Tiggo 7 2021,"EGP 840,000","Maadi V, Zahraa Al Maadi•",62000 km,Benzine
2016,BMW M440i Gran coupe M performance,"EGP 3,300,000","Zamalek, Cairo•",95000 km,Benzine
2023,مرسيدس GLC 200 SUV Exclusive لون ازرق مميز ٤٨٥٠ كم فقط,"EGP 4,400,000","1st Settlement, New Cairo•",4850 km,Benzine
2025,Runge Rover Velar 2025 HSE P300 اعلي مواصفه,"EGP 6,000,000","Heliopolis, Cairo•",1000 km,Benzine
2013,Volkswagen Passat 2013 2000 Turbo,"EGP 850,000","El Maadi, Maadi•",850000 km,Benzine
2019,بى واى دى اف 3 2019,"EGP 400,000","Maryotaya, Giza•",200000 km,Benzine
2021,Chevrolet Captiva 2021,"EGP 950,000","Heliopolis, Cairo•",39000 km,Benzine
2003,Nissan Sunny 2003,"EGP 370,000","Shubra, Cairo•",155000 km,Benzine
2019,Mercedes-Benz S560 2019,"EGP 10,000,000","Sheikh Zayed, Giza•",39000 km,Benzine
2007,تويوتا ياريس 2007,"EGP 395,000","Heliopolis, Cairo•",300000 km,Benzine
1998,فيات أونو 1998,"EGP 145,000","Hadayeq El Zeitoun, Cairo•",99999 km,Benzine
2008,Hyundai I10 2008,"EGP 295,000","Smoha, Alexandria•",130000 km,Benzine
2000,Fiat Punto 2000,"EGP 170,000","Garden City, Cairo•",200000 km,Benzine
1999,نيسان مكسيما 1999,"EGP 330,000","West El Balad, Hurghada•",200 km,Benzine
1992,فيات دوجان 1992,"EGP 129,000","Haram, Giza•",250000 km,Benzine
2013,BYD F3 2013,"EGP 350,000","Gesr Al Suez, Cairo•",255000 km,Benzine
2001,فيات سيينا 2001 فابريكا بره وجوا رخصة سنتين ونصف,"EGP 145,000","Matareya, Cairo•",150000 km,Benzine
2010,سبيرانزا أم 11 2010,"EGP 257,000","Al Amiriyyah, Cairo•",150000 km,Benzine
2018,Renault Logan 2018,"EGP 530,000","Maadi, Cairo•",70000 km,Benzine
2023,شيرى أريزو 5 2023,"EGP 635,000","Ramses + Ramses Extension, Cairo•",77268 km,Benzine
2021,تويوتا كورولا 2021,"EGP 1,150,000","Ramses + Ramses Extension, Cairo•",192399 km,Benzine
2021,ام جى ام جى 6 2021,"EGP 920,000","Ramses + Ramses Extension, Cairo•",92527 km,Benzine
2019,شيفروليه أفيو 2019 2019,"EGP 590,000","Ramses + Ramses Extension, Cairo•",100754 km,Benzine
2023,هيونداي إلينترا 2023,"EGP 925,000","Ramses + Ramses Extension, Cairo•",9031 km,Benzine
2025,Skoda Octavia 2025,"EGP 2,300,000","Maadi, Cairo•",New,Benzine
2021,Mercedes-Benz E200 2021,"EGP 3,200,000","1st Settlement, New Cairo•",51600 km,Benzine
2025,Skoda Octavia 2025 اقل سعر ف مصر,"EGP 2,150,000","Nasr City, Cairo•",New,Benzine
2025,الإستلام فى سبتمبر تقسيط مباشربدون فوائد والمصاريف علينا لمدة سنتين,"EGP 2,400,000","Nasr City, Cairo•",New,Electric
2025,Skoda Kodiaq 2025,"EGP 3,100,000","Mall Top 90, New Cairo•",New,Benzine
2023,هيونداي إلينترا 2023,"EGP 925,000","Ramses + Ramses Extension, Cairo•",9031 km,Benzine
2024,هيونداي إلينترا 2024 2024,"EGP 910,000","Ramses + Ramses Extension, Cairo•",22962 km,Benzine
2019,شيفروليه اوبترا 2019 2019,"EGP 590,000","Ramses + Ramses Extension, Cairo•",94078 km,Benzine
2023,شيرى تيجو 2023,"EGP 780,000","Ramses + Ramses Extension, Cairo•",55190 km,Benzine
2021,ام جى أر إكس 5 2021,"EGP 1,080,000","Bab al-Shereia, Cairo•",37980 km,Benzine
2022,شيرى أريزو 5 2022 2022,"EGP 575,000","Ramses + Ramses Extension, Cairo•",34346 km,Benzine
2023,شيرى أريزو 5 2023 2023,"EGP 655,000","Ramses + Ramses Extension, Cairo•",65354 km,Benzine
2019,هيونداي توسان 2019 الفئه الثالثة بلاس بضمان الوكيل,"EGP 1,290,000","Heliopolis, Cairo•",130000 km,Benzine
2023,Mercedes C200 Convertible Zero 2023,"EGP 3,500,000","Heliopolis, Cairo•",New,Benzine
2018,Chevrolet Optra 2018,"EGP 520,000","5th Settlement, New Cairo•",268857 km,Benzine
