year,Brand,Car_Price,Location,Mileage,Type
2014,Opel Astra 2014 فبريكا بالكامل معادا الرفرف الخلفي يمين,"EGP 550,000","Zahraa Al Maadi, Cairo•",283000 km,Benzine
2010,Brilliance Galena 2010,"EGP 310,000","Hadayek October, Giza•",362000 km,Benzine
2016,رينو لوجان 2016,"EGP 415,000","Gesr Al Suez, Cairo•",190000 km,Benzine
2020,Audi A3 2020,"EGP 1,300,000","Zed Towers, Sheikh Zayed•",90000 km,Benzine
1997,Opel Vectra 1997,"EGP 255,000","Agami, Alexandria•",207000 km,Benzine
2023,Hyundai Elantra 2023,"EGP 1,230,000","New Cairo, Cairo•",33000 km,Benzine
2019,Mercedes-Benz E200 2019,"EGP 2,900,000","Sheikh Zayed, Giza•",85000 km,Benzine
2006,بريليانس جالينا 2006,"EGP 290,000","Rod al-Farag, Cairo•",320000 km,Benzine
1981,بيجو 505 1981,"EGP 75,000","Downtown Cairo, Cairo•",20000 km,Benzine
2017,رينو لوجان 2017,"EGP 400,000","Rehab City Compound, New Cairo•",230000 km,Benzine
2008,Speranza A113 2008,"EGP 210,000","4th District, Sheikh Zayed•",125000 km,Benzine
2006,بريليانس جالينا 2006,"EGP 290,000","Shubra, Cairo•",320000 km,Benzine
1997,مازدا نقل 1997,"EGP 280,000","Santa, Gharbia•",1 km,Diesel
2014,Kia Carens 2014,"EGP 780,000","6th of October, Giza•",218000 km,Benzine
2004,دايو نوبيرا 2004,"EGP 280,000","Masr al-Kadema, Cairo•",111000 km,Benzine
2024,Mercedes-Benz C180 2024,"EGP 3,800,000","Giselle Compound, Sheikh Zayed•",New,Benzine
2000,نيسان صني ٢٠٠٠ حالة ممتازة,"EGP 270,000","Baltim, Kafr al-Sheikh•",85700 km,Benzine
2016,كيا سبورتاج 2016,"EGP 1,100,000","Hurghada, Red Sea•",178000 km,Benzine
1984,فورد أخرى 1984,"EGP 120,000","Qusiya, Asyut•",200000 km,Benzine
2004,أوبل كورسا 2004,"EGP 170,000","Maryotaya, Giza•",280000 km,Benzine
2020,مرسيدس بنز سي 180 2020 افنجرد بلس زيروووو,"EGP 2,290,000","Madinaty, Cairo•",110000 km,Benzine
2016,بي ام دبليو إكس 5 2016 bmw x5 2016,"EGP 2,200,000","5th Settlement, New Cairo•",188000 km,Benzine
2011,افيو 2011 مانيوال,"EGP 300,000","Minya al-Qamh, Sharqia•",265000 km,Benzine
2006,شيفروليه اوبترا 2006,"EGP 335,000","Hadayek al-Kobba, Cairo•",250 km,Benzine
2009,سبيرانزا إيه 113 2009,"EGP 247,000","Sheraton, Cairo•",120000 km,Benzine
2013,شيفروليه أفيو 2013,"EGP 360,000","Zagazig, Sharqia•",112000 km,Benzine
2001,دايو نوبيرا 2001,"EGP 180,000","6th of October, Giza•",1000 km,Benzine
2000,Daewoo Lanos 2000,"EGP 145,000","Maadi, Cairo•",140000 km,Benzine
2017,فورد كوجا 2017,"EGP 850,000","Glim, Alexandria•",77000 km,Benzine
2007,Volkswagen Passat B6 2007,"EGP 620,000","Sheikh Zayed, Giza•",212000 km,Benzine
2009,سبيرانزا إيه 113 2009,"EGP 247,000","Sheraton, Cairo•",120000 km,Benzine
2013,شيفروليه أفيو 2013,"EGP 360,000","Zagazig, Sharqia•",112000 km,Benzine
2001,دايو نوبيرا 2001,"EGP 180,000","6th of October, Giza•",1000 km,Benzine
2000,Daewoo Lanos 2000,"EGP 145,000","Maadi, Cairo•",140000 km,Benzine
2017,فورد كوجا 2017,"EGP 850,000","Glim, Alexandria•",77000 km,Benzine
2007,Volkswagen Passat B6 2007,"EGP 620,000","Sheikh Zayed, Giza•",212000 km,Benzine
2024,Porsche Cayenne 2024,"EGP 8,900,000","Roushdy, Alexandria•",21000 km,Benzine
2014,أوبل كورسا 2014,"EGP 490,000","Al Amiriyyah, Cairo•",150000 km,Benzine
1983,مازدا 323 (1983) للبيع,"EGP 60,000","Marg, Cairo•",1 km,Benzine
2018,هيونداي فيرنا 2018,"EGP 450,000","Ismailia City, Ismailia•",445000 km,Benzine
2014,RANGE ROVER VOGUE جمرك,"EGP 2,600,000","New Cairo, Cairo•",130000 km,Benzine
2000,شيفروليه أخرى 2000,"EGP 300,000","Abu Hammad, Sharqia•",800000 km,Diesel
2024,Porsche Cayenne 2024,"EGP 9,400,000","Swan Lake West, Sheikh Zayed•",8500 km,Benzine
2007,سبيرانزا إيه 516 2007,"EGP 180,000","Obour City, Cairo•",415000 km,Benzine
1993,هوندا سيفيك 1993,"EGP 225,000","Port Fouad, Port Said•",200000 km,Benzine
2010,Mercedes-Benz C300 2010,"EGP 1,250,000","Mall 6ixty, Heliopolis•",220000 km,Benzine
2015,هيونداي فيرنا 2015,"EGP 330,000","Asafra, Alexandria•",173000 km,Benzine
2024,Mercedes-Benz E200 2024 Premium with Night backage,"EGP 5,350,000","Abu Qir, Alexandria•",New,Benzine
1997,Kia Shuma 1997  كيا شوما ٩٧,"EGP 220,000","Moharam Bik, Alexandria•",472000 km,Benzine
2013,Opel Astra 2013,"EGP 510,000","Heliopolis, Cairo•",188000 km,Benzine
2020,Opel Astra 2020,"EGP 710,000","6th of October, Giza•",228000 km,Benzine
2009,اسبيرانزا A516 2009,"EGP 180,000","Warraq, Giza•",250000 km,Benzine
2010,تاكسي الفيوم  دايو لانوس 2010,"EGP 285,000","Atssa, Fayoum•",2000 km,Natural Gas
2025,Hyundai Tucson 2025 Zero هيونداي توسان الفئه الثالثه زيرو لم ترخص,"EGP 1,850,000","Nasr City, Cairo•",New,Benzine
2025,Kia Xceed 2025 Top Line كيا اكسيد  توب لاين عداد 19 الف كم,"EGP 1,470,000","New Cairo, Cairo•",19000 km,Benzine
1997,Daihatsu Charade 1997,"EGP 155,000","Madinaty, Cairo•",1 km,Benzine
2019,لادا جرانتا 2019 – رخصة لحد 2027 - بدون توكيلات,"EGP 310,000","Seyouf, Alexandria•",162000 km,Benzine
2024,Hyundai Tucson 2024 هيونداي توسان الفئه الثالثه 19الف كم,"EGP 1,785,000","6th of October, Giza•",19000 km,Benzine
2009,بي ام دبليو 523 2009,"EGP 700,000","6th of October, Giza•",250000 km,Benzine
2024,سانج يونغ توريس 2024 اعلي فئة وكيل,"EGP 1,750,000","5th Settlement, New Cairo•",14000 km,Benzine
2024,Volkswagen ID6 Crozz Pro 2024,"EGP 2,275,000","New Cairo, Cairo•",New,Electric
2025,Mercedes-Benz EQA 260 2025,"EGP 2,300,000","New Cairo, Cairo•",New,Electric
1978,بيجو 504 1978,"EGP 120,000","Al Manial, Cairo•",1 km,Benzine
2025,BYD Leopard 5 2025,"EGP 3,225,000","New Cairo, Cairo•",New,Hybrid
2024,Chery iCar 03 2024,"EGP 1,550,000","New Cairo, Cairo•",New,Electric
2025,Honda ENP2 2025,"EGP 1,700,000","New Cairo, Cairo•",New,Electric
2014,Kia Rio 2014 فابريكة بره وجوه بالكامل,"EGP 650,000","Suez District, Suez•",110000 km,Benzine
2016,Kia Rio 2016 فابريكة بره وجوه,"EGP 650,000","Suez District, Suez•",160000 km,Benzine
2010,Chevrolet Aveo 2010,"EGP 300,000","Nasr City, Cairo•",350000 km,Benzine
1982,Fiat - 128 - 1982 سيارة فيات 128 حمرا موديل للبيع,"EGP 45,000","Haram, Giza•",350000 km,Benzine
2007,بى واى دى فلاير 2007,"EGP 145,000","Mansura, Dakahlia•",91000 km,Benzine
2017,mg750 ام جي ٧٥٠,"EGP 585,000","Haram, Giza•",115000 km,Benzine
1983,شيفروليه أخرى 1983,"EGP 120,000","Attaka, Suez•",600 km,Benzine
1976,فيات 128 1976,"EGP 45,000","Shubra al-Khaimah, Qalyubia•",1 km,Benzine
2008,Opel Vectra 2008,"EGP 420,000","Nasr City, Cairo•",198000 km,Benzine
2007,بى واى دى فلاير 2007,"EGP 145,000","Mansura, Dakahlia•",91000 km,Benzine
2017,mg750 ام جي ٧٥٠,"EGP 585,000","Haram, Giza•",115000 km,Benzine
1983,شيفروليه أخرى 1983,"EGP 120,000","Attaka, Suez•",600 km,Benzine
1976,فيات 128 1976,"EGP 45,000","Shubra al-Khaimah, Qalyubia•",1 km,Benzine
2008,Opel Vectra 2008,"EGP 420,000","Nasr City, Cairo•",198000 km,Benzine
1990,Fiat 128,"EGP 75,000","Matareya, Cairo•",1 km,Benzine
1990,بيجو 505 1990,"EGP 185,000","Dikirnis, Dakahlia•",200000 km,Benzine
2019,جيلى أخرى 2019,"EGP 58,000","Heliopolis, Cairo•",1600 km,Benzine
2022,جلوري ديفسك K01s,"EGP 300,000","Abu Tisht, Qena•",62000 km,Benzine
2021,Fiat Tipo فيات تيبو منوال  2021,"EGP 600,000","Moharam Bik, Alexandria•",90000 km,Benzine
1998,جيب شيروكى 1998,"EGP 420,000","Qanater al-Khairia, Qalyubia•",400 km,Benzine
2018,شيرى انفى 2018,"EGP 300,000","Hadayek al-Kobba, Cairo•",300000 km,Natural Gas
2007,مرسيدس بنز إس 350 2007,"EGP 1,500,000","Dreamland Compound, 6th of October•",160000 km,Benzine
2012,شيفروليه سونيك 2012 اتوماتيك,"EGP 370,000","Matareya, Cairo•",166000 km,Benzine
2019,BMW 318 2019,"EGP 1,430,000","Smoha, Alexandria•",100000 km,Benzine
2000,آخر أخرى 2000,"EGP 300,000","Abu Kabir, Sharqia•",900000 km,Diesel
2024,Opel Grandland 2024,"EGP 1,650,000","New Cairo, Cairo•",37000 km,Benzine
2023,سوزوكي فان 2023,"EGP 425,000","Tersa, Giza•",46000 km,Benzine
2024,Opel Grandland 2024,"EGP 1,660,000","6th of October, Giza•",22000 km,Benzine
2011,Kia Cerato Coupe 2011,"EGP 590,000","6th of October, Giza•",163000 km,Benzine
2008,Chrysler Pacifica 2008,"EGP 580,000","Mohandessin, Giza•",230000 km,Benzine
2025,مرسيدس GLC200 كوبيه 2025 بريمير بلس,"EGP 5,600,000","New Cairo, Cairo•",New,Benzine
2018,عربية شيرى انفى للبيع,"EGP 300,000","Heliopolis, Cairo•",300000 km,Benzine
2023,مرسيدس بنز سي 180 2023,"EGP 3,200,000","Nasr City, Cairo•",8000 km,Benzine
2016,Mitsubishi Lancer 2016,"EGP 720,000","Heliopolis, Cairo•",22000 km,Benzine
2008,تويوتا ياريس 2008,"EGP 380,000","6th of October, Giza•",289 km,Benzine
2008,Suzuki Maruti 2008,"EGP 130,000","Al Amiriyyah, Cairo•",90000 km,Benzine
2022,"Chery Tiggo 3 2022  كسر زيرو 30,000km قسط باقل فوائد واقل مقدمات","EGP 500,000","Smoha, Alexandria•",30000 km,Benzine
1997,هيونداي اكسنت HCI 1997,"EGP 220,000","Abasiya, Cairo•",200000 km,Benzine
2022,لاند روفر رنج روفر سبورت 2022,"EGP 6,800,000","Sheraton, Cairo•",26000 km,Natural Gas
2019,فيات بونتو 2019 فابريكا بالكامل عداد ٤٧ الف كيلو فقط,"EGP 590,000","Tanta, Gharbia•",47000 km,Benzine
2022,Hyundai Tucson 2022,"EGP 1,500,000","Kafr Abdo, Alexandria•",82000 km,Benzine
2008,شيفروليه اوبترا 2008,"EGP 380,000","New Nozha, Cairo•",150000 km,Benzine
2010,Mercedes-Benz C200 2010 mint condition,"EGP 1,175,000","Pharma City Compound, Sidi Gaber•",122000 km,Benzine
2020,بي ام دبليو 118 2020,"EGP 1,675,000","Nasr City, Cairo•",105000 km,Benzine
2022,سيات ليون 2022,"EGP 1,300,000","Nasr City, Cairo•",60600 km,Benzine
2001,سوزوكي فيتارا 2001,"EGP 350,000","Dahshur, Giza•",143000 km,Benzine
2022,Mercedes-Benz C180 2022,"EGP 3,500,000","Zahraa Al Maadi, Cairo•",7000 km,Hybrid
1991,بي ام دبليو 316 1991,"EGP 250,000","15 May City, Cairo•",1 km,Benzine
2020,شيفروليه إن 300 2020,"EGP 455,000","Tanta, Gharbia•",160000 km,Benzine
2010,Mazda 3 2010,"EGP 350,000","15 May City, Cairo•",210000 km,Benzine
2021,Suzuki Vitara 2021,"EGP 1,250,000","Kafr Abdo, Alexandria•",2000 km,Benzine
2022,Jac J7 2022,"EGP 850,000","Al Hadaba Al Wosta, Mokattam•",23000 km,Benzine
2015,بريليانس اف ار في كروس 2015,"EGP 450,000","Haram, Giza•",170000 km,Benzine
2017,Opel Astra 2017 أعلى فئة للبيع,"EGP 680,000","Princess Compound, 6th of October•",160000 km,Benzine
2010,Mazda 3 2010,"EGP 350,000","15 May City, Cairo•",210000 km,Benzine
2021,Suzuki Vitara 2021,"EGP 1,250,000","Kafr Abdo, Alexandria•",2000 km,Benzine
2022,Jac J7 2022,"EGP 850,000","Al Hadaba Al Wosta, Mokattam•",23000 km,Benzine
2015,بريليانس اف ار في كروس 2015,"EGP 450,000","Haram, Giza•",170000 km,Benzine
2017,Opel Astra 2017 أعلى فئة للبيع,"EGP 680,000","Princess Compound, 6th of October•",160000 km,Benzine
1977,فيات 127 1977,"EGP 53,000","Badr City, Cairo•",55000 km,Benzine
2014,أوبل انسيجنيا 2014 فبريكا بالكامل,"EGP 830,000","1st Settlement, New Cairo•",150 km,Benzine
2022,شيفروليه نيو اوبترا 2022 بحاله ممتازه جدا - Chevrolet Optra,"EGP 600,000","Matareya, Cairo•",154000 km,Benzine
2015,جيلى بانديدو 2015,"EGP 240,000","Nasr City, Cairo•",190000 km,Benzine
1998,سكودا أوكتافيا 1998,"EGP 380,000","Sakan Masr, Badr City•",30000 km,Benzine
2018,بي ام دبليو إكس 6 2018,"EGP 4,500,000","Sheikh Zayed, Giza•",20000 km,Benzine
2000,تويوتا إكو 2000,"EGP 300,000","Matareya, Cairo•",15000 km,Benzine
1979,مازدا 929 1979,"EGP 155,000","Mahalla al-Kobra, Gharbia•",5000 km,Diesel
2014,Kia Picanto 2014  كيا بيكانتو ٢٠١٤,"EGP 550,000","Suez District, Suez•",72000 km,Benzine
2025,سيارة شيري تيجو7 Chery Tiggo استلام فوري من حميدو موتورز موزع,"EGP 1,030,000","Heliopolis, Cairo•",New,Benzine
2009,سبيرانزا إيه 113 2009,"EGP 240,000","Asyut City, Asyut•",54 km,Benzine
2008,بيجو 407 2008,"EGP 340,000","Smoha, Alexandria•",214 km,Benzine
2008,Mercedes-Benz C200 2008,"EGP 1,150,000","New Damietta, Damietta•",145000 km,Benzine
2003,كيا سبكترا 2003 للبيع,"EGP 280,000","Hadayek October, Giza•",240000 km,Benzine
2000,رينو سينيك 2000,"EGP 200,000","Mahalla al-Kobra, Gharbia•",150 km,Benzine
2012,عربية هيونداي فيرنا للبيع,"EGP 290,000","Shorouk City, Cairo•",218000 km,Benzine
2023,Mercedes-Benz C180 2023,"EGP 3,200,000","Haram, Giza•",14000 km,Benzine
2024,Mercedes-Benz GLC 300 2024,"EGP 5,300,000","Palm Square, Shorouk City•",New,Benzine
1992,تويوتا كورولا 1992,"EGP 180,000","Marsa Matrouh, Matruh•",1 km,Benzine
2008,Hyundai Matrix 2008,"EGP 520,000","Rehab City Compound, New Cairo•",90000 km,Benzine
2003,نوبيرا 2 فابريكة بالكامل دواخل,"EGP 250,000","Zagazig, Sharqia•",11111 km,Benzine
1979,فيات ١٣١ موديل ١٩٧٩ أبيض ١٣٠٠ سي سي الموتور الأسود,"EGP 65,000","Abasiya, Cairo•",42000 km,Benzine
2007,دايو لانوس 2007,"EGP 270,000","Wadi al-Natrun, Beheira•",200000 km,Benzine
2022,Citroen C4 2022,"EGP 1,150,000","New Cairo, Cairo•",82000 km,Benzine
2022,Audi Q8 2022,"EGP 5,250,000","New Giza Compound, 6th of October•",35000 km,Benzine
2010,Skoda Octavia 2010,"EGP 640,000","1st Settlement, New Cairo•",330000 km,Benzine
2008,لادا 2107 2008,"EGP 130,000","Montazah, Alexandria•",1 km,Benzine
2013,تويوتا كورولا 2013,"EGP 500,000","Glory Gardens, Obour City•",240000 km,Benzine
2016,Hyundai Grand I10 2016,"EGP 540,000","Nasr City, Cairo•",105000 km,Benzine
2025,Audi Q3 2025 sportback black edition,"EGP 2,925,000","5th Settlement, New Cairo•",New,Benzine
2021,MG MG 5 2021,"EGP 730,000","Palm Square, Shorouk City•",99000 km,Benzine
2008,لادا 2107 (2008) للبيع,"EGP 130,000","Al Hadrah, Alexandria•",1 km,Benzine
2010,هيونداي فيرنا 2010,"EGP 300,000","Awayed, Alexandria•",250000 km,Benzine
2013,Jac A13 2013,"EGP 250,000","Ismailia City, Ismailia•",130000 km,Benzine
2006,تويوتا ياريس 2006 اتوماتيك,"EGP 410,000","Mostakbal City, Cairo•",205 km,Benzine
1979,لادا 1500 1979,"EGP 160,000","Mandara, Alexandria•",100000 km,Benzine
2002,سيتروين إكسارا 2002 بحاله الفبريكه كامله مانيوال,"EGP 285,000","Heliopolis, Cairo•",130000 km,Benzine
2007,دايو لانوس 2 2007,"EGP 270,000","Wadi al-Natrun, Beheira•",200000 km,Benzine
2025,Audi Q2 2025 ضمان الوكيل استلام فوري,"EGP 2,150,000","5th Settlement, New Cairo•",New,Benzine
2018,شيفرولية دبابة ٢٠١٨,"EGP 720,000","Sadat, Monufia•",268000 km,Diesel
1979,لادا 1500 1979,"EGP 160,000","Mandara, Alexandria•",100000 km,Benzine
2002,سيتروين إكسارا 2002 بحاله الفبريكه كامله مانيوال,"EGP 285,000","Heliopolis, Cairo•",130000 km,Benzine
2007,دايو لانوس 2 2007,"EGP 270,000","Wadi al-Natrun, Beheira•",200000 km,Benzine
2025,Audi Q2 2025 ضمان الوكيل استلام فوري,"EGP 2,150,000","5th Settlement, New Cairo•",New,Benzine
2018,شيفرولية دبابة ٢٠١٨,"EGP 720,000","Sadat, Monufia•",268000 km,Diesel
2009,Suzuki Alto 2009,"EGP 195,000","Gesr Al Suez, Cairo•",136000 km,Benzine
1990,فيات 128 1990,"EGP 65,000","Akhmim, Sohag•",356880 km,Benzine
2025,Audi Q7 2025 ضمان الوكيل استلام فوري,"EGP 5,699,000","5th Settlement, New Cairo•",New,Benzine
2018,BMW 318i,"EGP 1,550,000","Nasr City, Cairo•",50000 km,Benzine
2000,Volkswagen Passat 2000,"EGP 250,000","Tanta, Gharbia•",300000 km,Benzine
2015,هيونداي فيرنا 2015,"EGP 300,000","Maadi V, Zahraa Al Maadi•",1 km,Hybrid
2017,هيونداي فيرنا 2017,"EGP 350,000","Masr al-Kadema, Cairo•",260000 km,Benzine
2024,Skoda Octavia 2024 A8 سكودا اوكتافيا كسر زيرو كماليات خاصة - 2024,"EGP 1,720,000","Nasr City, Cairo•",1230 km,Benzine
2017,شيرى انفى 2017,"EGP 320,000","Kerdasa, Giza•",180000 km,Benzine
2003,دايو لانوس 2003,"EGP 190,000","Awayed, Alexandria•",330000 km,Natural Gas
2016,Opel Insignia 2016,"EGP 850,000","Degla, Maadi•",130000 km,Benzine
1987,كيا برايد 1987,"EGP 125,000","Abasiya, Cairo•",100000 km,Benzine
1983,مازدا 323 1983,"EGP 90,000","Warraq, Giza•",100000 km,Benzine
1994,فيات أونو 1994,"EGP 110,000","Heliopolis, Cairo•",185000 km,Benzine
2011,هيونداي جيتز 2011,"EGP 485,000","Heliopolis, Cairo•",150000 km,Benzine
2005,سكودا أوكتافيا 2005,"EGP 575,000","Nasr City, Cairo•",130000 km,Benzine
2025,جيتور داشينج - Jetour Dashing,"EGP 1,500,000","6th of October, Giza•",New,Benzine
1990,تويوتا ستارليت 1990,"EGP 250,000","Minya City, Minya•",1 km,Benzine
2015,Skoda Octavia 2015,"EGP 800,000","Attarin, Alexandria•",266000 km,Benzine
2022,Honda City 2022,"EGP 1,060,000","New Cairo, Cairo•",88000 km,Benzine
2006,Mitsubishi Lancer 2006,"EGP 390,000","New Cairo, Cairo•",225000 km,Benzine
2019,Jaguar F-Pace 2019,"EGP 2,250,000","Rehab City Compound, New Cairo•",88000 km,Benzine
1988,فيات 128 1988,"EGP 50,000","Mansura, Dakahlia•",65000 km,Benzine
2022,Hyundai Elantra HD 2022 - High-Line,"EGP 875,000","Asyut City, Asyut•",32000 km,Benzine
2010,Seat Ibiza 2010 سيات ابيزا,"EGP 445,000","5th Settlement, New Cairo•",258000 km,Benzine
2011,شانجى سوبر باندا 2011,"EGP 150,000","Warraq, Giza•",200000 km,Benzine
2020,بيجو 301 2020 فابريكا صيانات توكيل بالفواتير عداد ٨٠ الف,"EGP 640,000","Sheikh Zayed, Giza•",80000 km,Benzine
2011,شيفروليه لانوس 2011,"EGP 250,000","Janna, Obour City•",300000 km,Benzine
2015,شيفروليه لانوس 2015,"EGP 290,000","Al Amiriyyah, Cairo•",300000 km,Benzine
2021,Honda CR-V هوندا موديل 2021 فبريكه بره وجوه اعلي فئه,"EGP 2,200,000","1st Settlement, New Cairo•",26000 km,Benzine
2024,كيا كي 3 2024,"EGP 1,450,000","Heliopolis, Cairo•",11000 km,Benzine
2015,Geely Emgrand 7 2015,"EGP 290,000","Saft El Laban, Giza•",170000 km,Benzine
2001,سيات كوردوبا 2001,"EGP 200,000","Ismailia City, Ismailia•",1 km,Natural Gas
2012,مرسيدس بنز سي 180 2012,"EGP 1,125,000","5th Settlement, New Cairo•",205000 km,Benzine
2010,اسبيرانزا A516 2010,"EGP 270,000","Imbaba, Giza•",150000 km,Benzine
1996,هيونداي إكسيل 1996,"EGP 135,000","Markaz al-Giza, Giza•",300000 km,Benzine
2019,Hyundai Elantra 2019,"EGP 800,000","Hadayek al-Ahram, Giza•",257000 km,Benzine
2020,كيا سبورتاج 2020 - kia sportage 2020,"EGP 1,550,000","Haram, Giza•",127000 km,Benzine
2023,شيرى تيجو 7 2023. بيز لاين فابريكة بالكامل للبيع كاش او تقسيط,"EGP 850,000","Nasr City, Cairo•",55000 km,Benzine
2008,نيسان صني 2008,"EGP 350,000","Bacchus, Alexandria•",217000 km,Benzine
1996,هيونداي إكسيل 1996,"EGP 135,000","Markaz al-Giza, Giza•",300000 km,Benzine
2019,Hyundai Elantra 2019,"EGP 800,000","Hadayek al-Ahram, Giza•",257000 km,Benzine
2020,كيا سبورتاج 2020 - kia sportage 2020,"EGP 1,550,000","Haram, Giza•",127000 km,Benzine
2023,شيرى تيجو 7 2023. بيز لاين فابريكة بالكامل للبيع كاش او تقسيط,"EGP 850,000","Nasr City, Cairo•",55000 km,Benzine
2008,نيسان صني 2008,"EGP 350,000","Bacchus, Alexandria•",217000 km,Benzine
2010,Nissan Sunny 2010,"EGP 475,000","Asyut City, Asyut•",168000 km,Benzine
1996,دايو لانوس 1996,"EGP 240,000","Damanhour, Beheira•",300000 km,Benzine
2013,نيسان صني 2013,"EGP 375,000","Heliopolis, Cairo•",259000 km,Benzine
2025,لاند روفر فيلار RangeRover Velar R-Dynamic SE P250 Fully loaded 2025,"EGP 6,350,000","New Cairo, Cairo•",New,Benzine
1976,مرسيدس بنز 230 1976,"EGP 120,000","Shubra al-Khaimah, Qalyubia•",5000 km,Benzine
2011,شيفروليه لانوس 2011,"EGP 310,000","Moharam Bik, Alexandria•",170000 km,Benzine
2021,شيرى تيجو 7 2021. بيز لاين فابريكة بالكامل للبيع كاش او تقسيط,"EGP 715,000","Nasr City, Cairo•",110000 km,Benzine
2016,لادا جرانتا 2016 للبيع,"EGP 290,000","Mokattam, Cairo•",151000 km,Benzine
1999,فيات شاهين (1999) للبيع,"EGP 125,000","Baltim, Kafr al-Sheikh•",150000 km,Benzine
2012,Volkswagen Passat 2012,"EGP 700,000","Al Manial, Cairo•",295000 km,Benzine
2020,Jeep Renegade 4x4,"EGP 1,550,000","Nasr City, Cairo•",75000 km,Benzine
2022,Mercedes-Benz C 180,"EGP 3,100,000","Nasr City, Cairo•",New,Benzine
2008,Hyundai Accent 2008,"EGP 365,000","Mostakbal City, Cairo•",290000 km,Benzine
2020,تويوتا لاند كروزر GXR  2020,"EGP 6,300,000","New Cairo, Cairo•",24000 km,Benzine
1982,مازدا 323 1982,"EGP 80,000","Haram, Giza•",300000 km,Benzine
2020,BMW Z4 2020,"EGP 3,500,000","Sheraton, Cairo•",15000 km,Benzine
2018,BMW 320 2018,"EGP 1,580,000","Heliopolis, Cairo•",163000 km,Benzine
2018,Volkswagen Passat 2018,"EGP 1,000,000","6th of October, Giza•",227000 km,Benzine
2011,سبيرانزا إيه 113 موديل 2011,"EGP 220,000","New Cairo, Cairo•",93000 km,Benzine
2001,Kia Pride 2001,"EGP 190,000","Shubra al-Khaimah, Qalyubia•",1 km,Benzine
1997,سكودا فيليشيا 1997,"EGP 118,000","Sidi Beshr, Alexandria•",5432 km,Benzine
1997,هيونداي إكسيل 1997,"EGP 155,000","Dar al-Salaam, Cairo•",100000 km,Benzine
2013,تويوتا كورولا 2013,"EGP 600,000","Zefta, Gharbia•",200000 km,Benzine
2010,سيات إبيزا 2010,"EGP 450,000","Mohandessin, Giza•",155000 km,Benzine
2016,لادا جرانتا 2016 مصري,"EGP 280,000","Haram, Giza•",110000 km,Benzine
2018,Renault Kadjar 2018,"EGP 800,000","Mansura, Dakahlia•",100000 km,Benzine
1981,لادا نيفا 1981,"EGP 90,000","Marsa Matrouh, Matruh•",500000 km,Natural Gas
2024,Slingshot Polaris 2024,"EGP 950,000","Nasr City, Cairo•",48000 km,Benzine
2023,BMW 520 I LUXURY 2023,"EGP 3,900,000","Nasr City, Cairo•",New,Benzine
2025,سكودا كودياك 2025,"EGP 3,150,000","Nasr City, Cairo•",New,Benzine
2000,فيات اونو 2000,"EGP 140,000","Al Hadrah, Alexandria•",137000 km,Benzine
1999,عربيه فيات شاهين 1999,"EGP 125,000","Baltim, Kafr al-Sheikh•",150000 km,Benzine
1983,Fiat 127 1983,"EGP 50,000","New Nozha, Cairo•",6000 km,Benzine
2017,رينو لوجان 2017,"EGP 400,000","Al Hanouvel, Agami•",190000 km,Benzine
1993,Fiat 126 1993,"EGP 45,000","Haram, Giza•",1 km,Benzine
2001,رينو كليو 2001,"EGP 180,000","Arbaeen, Suez•",250000 km,Benzine
2015,Mercedes-Benz CLA 180 2015,"EGP 1,750,000","Almazah, Cairo•",9000 km,Benzine
1993,تويوتا كورولا 1993,"EGP 275,000","Tal al-Kebeer, Ismailia•",200 km,Benzine
2000,دايو لانوس 2000,"EGP 225,000","Sheikh Zayed, Giza•",190000 km,Benzine
2008,فولكس فاغن توران 2008,"EGP 290,000","Tanta, Gharbia•",204000 km,Benzine
2001,رينو كليو 2001,"EGP 180,000","Arbaeen, Suez•",250000 km,Benzine
2015,Mercedes-Benz CLA 180 2015,"EGP 1,750,000","Almazah, Cairo•",9000 km,Benzine
1993,تويوتا كورولا 1993,"EGP 275,000","Tal al-Kebeer, Ismailia•",200 km,Benzine
2000,دايو لانوس 2000,"EGP 225,000","Sheikh Zayed, Giza•",190000 km,Benzine
2008,فولكس فاغن توران 2008,"EGP 290,000","Tanta, Gharbia•",204000 km,Benzine
1993,فيات دوجان 1993,"EGP 130,000","6th of October, Giza•",1 km,Benzine
2025,Audi A3 2025 all colour استلام فوري من موزع معتمد,"EGP 2,325,000","5th Settlement, New Cairo•",New,Benzine
2023,Kia Sportage Hybrid 2023,"EGP 1,950,000","Heliopolis, Cairo•",15000 km,Hybrid
2017,أوبل انسيجنيا 2017,"EGP 820,000","Obour City, Cairo•",230000 km,Benzine
2020,Mercedes-Benz C200 coupe AMG 2020,"EGP 3,250,000","New Cairo, Cairo•",32000 km,Benzine
2019,فاو فان 2019,"EGP 250,000","Maadi, Cairo•",150000 km,Benzine
2020,Mercedes-Benz C180 2020,"EGP 2,450,000","Sheikh Zayed, Giza•",74000 km,Benzine
2024,Land Rover Evoque p160 R-dynamic 2024- اسعار مميزه داخل المعرض,"EGP 4,300,000","New Cairo, Cairo•",New,Benzine
2025,Mercedes-Benz CLA 200 2025_ مرسيدس سي ال اى,"EGP 3,375,000","New Cairo, Cairo•",New,Benzine
2021,MG MG 6 2021,"EGP 923,000","New Cairo, Cairo•",64000 km,Benzine
